tag,jobs_completed,makespan_s,wait_avg,wait_min,wait_p25,wait_p50,wait_p75,wait_p80,wait_p90,wait_p95,wait_p99,wait_max,bsld_avg,bsld_min,bsld_p25,bsld_p50,bsld_p75,bsld_p80,bsld_p90,bsld_p95,bsld_p99,bsld_max,total_util
F3-w256,52616,37650529,19423.09,0.00,0.00,674.00,8940.00,12015.00,24764.00,53268.50,288169.60,8242201.00,2.23,1.00,1.00,1.08,1.90,2.17,3.90,6.14,18.38,224.87,0.7644
F3-w512,52616,37650529,19436.52,0.00,0.00,668.00,8863.50,11950.00,24949.50,53268.50,297044.70,8242201.00,2.23,1.00,1.00,1.08,1.90,2.17,3.90,6.13,18.43,224.87,0.7644
F3-w1024,52616,37650529,19436.52,0.00,0.00,668.00,8863.50,11950.00,24949.50,53268.50,297044.70,8242201.00,2.23,1.00,1.00,1.08,1.90,2.17,3.90,6.13,18.43,224.87,0.7644
F4-w2,52616,37611467,48196.22,0.00,0.00,9263.00,51281.75,70896.00,160950.50,241743.50,360147.15,1998439.00,7.18,1.00,1.00,2.26,6.69,8.56,14.27,23.30,83.70,1359.66,0.7652
F4-w4,52616,37613040,39068.32,0.00,0.00,8063.50,38900.00,53752.00,112993.00,201581.75,344112.10,2019287.00,6.15,1.00,1.00,1.99,5.35,6.90,12.34,21.41,67.33,1732.15,0.7652
F4-w8,52616,37640047,33349.77,0.00,0.00,5659.50,32620.00,45507.00,96643.50,161611.50,307259.85,3330953.00,5.23,1.00,1.00,1.72,4.54,5.87,9.89,16.31,59.26,1246.10,0.7646
F4-w16,52616,37648817,28195.38,0.00,0.00,3686.00,23131.25,32490.00,73260.00,124153.25,290670.55,4422151.00,4.35,1.00,1.00,1.46,3.67,4.65,8.48,13.36,44.73,1042.73,0.7645
F4-w32,52616,37650295,22569.55,0.00,0.00,2063.50,13566.25,19081.00,46953.00,93579.50,259157.50,3919281.00,3.16,1.00,1.00,1.24,2.51,3.15,6.17,9.57,30.01,1011.43,0.7644
F4-w64,52616,37649247,21313.58,0.00,0.00,1281.00,10846.00,15437.00,37660.50,70515.75,280086.95,7601559.00,2.58,1.00,1.00,1.15,2.18,2.71,4.63,7.10,24.33,269.90,0.7645
F4-w128,52616,37649247,20469.39,0.00,0.00,1083.00,9406.00,13241.00,27792.50,50496.75,298034.60,8122404.00,2.25,1.00,1.00,1.13,2.00,2.36,3.99,6.31,16.68,193.66,0.7645
F4-w256,52616,37649247,19659.03,0.00,0.00,1119.50,9112.00,12856.00,26715.50,50987.25,295938.65,7472547.00,2.24,1.00,1.00,1.13,2.00,2.34,3.90,5.99,16.75,193.66,0.7645
F4-w512,52616,37649247,19662.16,0.00,0.00,1109.00,9098.50,12829.00,26892.00,50987.25,297613.60,7472547.00,2.24,1.00,1.00,1.13,2.00,2.34,3.89,5.99,16.75,193.66,0.7645
F4-w1024,52616,37649247,19662.16,0.00,0.00,1109.00,9098.50,12829.00,26892.00,50987.25,297613.60,7472547.00,2.24,1.00,1.00,1.13,2.00,2.34,3.89,5.99,16.75,193.66,0.7645
